Wavelength_nm,Absorbance,Date,Sample
325,0.0704,2025-06-10,SP01
325,0.0633,2025-06-10,SP02
326,0.0694,2025-06-10,SP01
326,0.062,2025-06-10,SP02
327,0.0683,2025-06-10,SP01
327,0.061,2025-06-10,SP02
328,0.0671,2025-06-10,SP01
328,0.0601,2025-06-10,SP02
329,0.066,2025-06-10,SP01
329,0.0591,2025-06-10,SP02
330,0.0651,2025-06-10,SP01
330,0.0582,2025-06-10,SP02
331,0.0642,2025-06-10,SP01
331,0.0574,2025-06-10,SP02
332,0.0633,2025-06-10,SP01
332,0.0564,2025-06-10,SP02
333,0.0627,2025-06-10,SP01
333,0.0555,2025-06-10,SP02
334,0.062,2025-06-10,SP01
334,0.0549,2025-06-10,SP02
335,0.0608,2025-06-10,SP01
335,0.0537,2025-06-10,SP02
336,0.0599,2025-06-10,SP01
336,0.053,2025-06-10,SP02
337,0.0591,2025-06-10,SP01
337,0.0524,2025-06-10,SP02
338,0.0581,2025-06-10,SP01
338,0.0514,2025-06-10,SP02
339,0.0577,2025-06-10,SP01
339,0.0506,2025-06-10,SP02
340,0.0567,2025-06-10,SP01
340,0.0498,2025-06-10,SP02
341,0.056,2025-06-10,SP01
341,0.0492,2025-06-10,SP02
342,0.055,2025-06-10,SP01
342,0.0484,2025-06-10,SP02
343,0.054,2025-06-10,SP01
343,0.0477,2025-06-10,SP02
344,0.0536,2025-06-10,SP01
344,0.047,2025-06-10,SP02
345,0.0535,2025-06-10,SP01
345,0.0464,2025-06-10,SP02
346,0.0527,2025-06-10,SP01
346,0.0458,2025-06-10,SP02
347,0.0519,2025-06-10,SP01
347,0.0451,2025-06-10,SP02
348,0.0512,2025-06-10,SP01
348,0.0444,2025-06-10,SP02
349,0.0503,2025-06-10,SP01
349,0.0437,2025-06-10,SP02
350,0.0496,2025-06-10,SP01
350,0.0432,2025-06-10,SP02
351,0.0489,2025-06-10,SP01
351,0.0425,2025-06-10,SP02
352,0.0479,2025-06-10,SP01
352,0.0417,2025-06-10,SP02
353,0.0474,2025-06-10,SP01
353,0.0412,2025-06-10,SP02
354,0.0472,2025-06-10,SP01
354,0.0407,2025-06-10,SP02
355,0.0464,2025-06-10,SP01
355,0.04,2025-06-10,SP02
356,0.0456,2025-06-10,SP01
356,0.0396,2025-06-10,SP02
357,0.0454,2025-06-10,SP01
357,0.0391,2025-06-10,SP02
358,0.0451,2025-06-10,SP01
358,0.0385,2025-06-10,SP02
359,0.044,2025-06-10,SP01
359,0.0379,2025-06-10,SP02
360,0.0434,2025-06-10,SP01
360,0.0374,2025-06-10,SP02
361,0.0431,2025-06-10,SP01
361,0.0368,2025-06-10,SP02
362,0.0434,2025-06-10,SP01
362,0.0362,2025-06-10,SP02
363,0.0424,2025-06-10,SP01
363,0.0356,2025-06-10,SP02
364,0.0415,2025-06-10,SP01
