Location,Date,Wavelength_nm,Absorbance,PercentAbsorbed
AP,2025-05-27,296,0.0816,17.06599499426705
AP,2025-05-27,297,0.08065,16.88475578591528
AP,2025-05-27,298,0.0795,16.664750940316985
AP,2025-05-27,299,0.07825,16.425665026100255
AP,2025-05-27,300,0.07730000000000001,16.24302093489634
AP,2025-05-27,301,0.07625,16.039903423204393
AP,2025-05-27,302,0.07495,15.788949305785177
AP,2025-05-27,303,0.07405,15.614997884982879
AP,2025-05-27,304,0.07295,15.401732690310105
AP,2025-05-27,305,0.07195,15.207450476919849
AP,2025-05-27,306,0.0711,15.041699714965546
AP,2025-05-27,307,0.07024999999999999,14.875623820057964
AP,2025-05-27,308,0.06925,14.679391866730507
AP,2025-05-27,309,0.06845,14.522814486674068
AP,2025-05-27,310,0.06765,14.365945227357745
